Station Name,Latitude,Longitude,Free Bikes,Empty slots,ll
Hess at king,43.259125842121065,-79.87721174955368,3,9,"43.259125842121065,-79.87721174955368"
Bayfront Park,43.269288276229105,-79.87132698297499,10,25,"43.269288276229105,-79.87132698297499"
Bay at Strachan,43.26785864558976,-79.8679232597351,4,18,"43.26785864558976,-79.8679232597351"
Bay at Mulberry,43.263198441574474,-79.87180307507515,4,10,"43.263198441574474,-79.87180307507515"
City Hall,43.2561324863605,-79.8744987564414,2,15,"43.2561324863605,-79.8744987564414"
Bay at Bold,43.2538302267771,-79.8753935613187,11,0,"43.2538302267771,-79.8753935613187"
James S at Charlton,43.2496354495324,-79.8720555723035,6,4,"43.2496354495324,-79.8720555723035"
Oxford at York,43.26456372689135,-79.8777937889099,8,4,"43.26456372689135,-79.8777937889099"
Queen at Peter,43.2618861338306,-79.877606006297,9,3,"43.2618861338306,-79.877606006297"
West at Cannon,43.257877862291,-79.8561337635964,9,3,"43.257877862291,-79.8561337635964"
Forsyth at Sterling,43.26271404114188,-79.91580605506897,0,35,"43.26271404114188,-79.91580605506897"
Gage at Cannon - ERI11,43.25112644429895,-79.82740849256516,2,7,"43.25112644429895,-79.82740849256516"
H.A.A.A. Park,43.2540651616154,-79.8819466027797,7,4,"43.2540651616154,-79.8819466027797"
Hunter at Hess,43.255383107655966,-79.87889617681503,9,7,"43.255383107655966,-79.87889617681503"
Dunsmure at Sherman - ERI10,43.24943274108067,-79.8388883471489,3,6,"43.24943274108067,-79.8388883471489"
King at Dunsmure - ERI09,43.24634382646498,-79.82685998082161,6,3,"43.24634382646498,-79.82685998082161"
Locke at Napier,43.2628018805713,-79.8827367298478,5,6,"43.2628018805713,-79.8827367298478"
York at Inchbury,43.2659146108256,-79.8819495909127,8,4,"43.2659146108256,-79.8819495909127"
Aberdeen at Queen,43.2488085584277,-79.8836993988543,8,3,"43.2488085584277,-79.8836993988543"
King at Dundurn,43.26240933566922,-79.88798081874847,13,0,"43.26240933566922,-79.88798081874847"
Main at Dundurn,43.25966301112219,-79.8892092704773,9,1,"43.25966301112219,-79.8892092704773"
Dundurn St S,43.2548127612063,-79.8909067737901,2,10,"43.2548127612063,-79.8909067737901"
McMaster Mary Keyes,43.262460120020584,-79.92224670946598,2,11,"43.262460120020584,-79.92224670946598"
McMaster Health Sciences,43.26053126154136,-79.91824820637703,0,30,"43.26053126154136,-79.91824820637703"
McMaster Arthur Bourns,43.2599690032886,-79.922358671032,1,14,"43.2599690032886,-79.922358671032"
McMaster Emerson,43.258038792898375,-79.91978779435158,1,19,"43.258038792898375,-79.91978779435158"
Longwood at Edgevale,43.2662112220324,-79.8993094512,15,0,"43.2662112220324,-79.8993094512"
Longwood at King,43.2630174571678,-79.9009418422827,7,0,"43.2630174571678,-79.9009418422827"
Chedoke Stairs,43.2460802627748,-79.90823779724,8,3,"43.2460802627748,-79.90823779724"
McMaster Innovation Park,43.25656885270854,-79.9011692404747,2,15,"43.25656885270854,-79.9011692404747"
Macklin at King,43.2621672804245,-79.8964982026467,8,5,"43.2621672804245,-79.8964982026467"
Dundurn at Aberdeen,43.251458458948996,-79.89265590906143,6,18,"43.251458458948996,-79.89265590906143"
Dundurn Stairs,43.2465214141618,-79.8947787566411,10,0,"43.2465214141618,-79.8947787566411"
Cootes Drive Dundas,43.26547419149645,-79.94765996932983,3,0,"43.26547419149645,-79.94765996932983"
Princess Point,43.2729912871819,-79.8945270389426,1,11,"43.2729912871819,-79.8945270389426"
Pearl Street Bridge,43.25650634283747,-79.88345324993132,4,8,"43.25650634283747,-79.88345324993132"
Rail Trail at Emerson,43.2546745875963,-79.9208028150996,5,11,"43.2546745875963,-79.9208028150996"
Westdale Library,43.262715994377196,-79.90359663963316,3,6,"43.262715994377196,-79.90359663963316"
Emerson at Whitney,43.2521423210113,-79.9222158171462,10,5,"43.2521423210113,-79.9222158171462"
Sterling at Whitton,43.2622271626907,-79.9133658840373,2,8,"43.2622271626907,-79.9133658840373"
Sterling at Haddon,43.26202552179778,-79.91026729345322,10,1,"43.26202552179778,-79.91026729345322"
Sanders at Hollywood,43.2599031676959,-79.9264810904732,8,4,"43.2599031676959,-79.9264810904732"
King at Cline,43.2605367847852,-79.9092948353051,8,5,"43.2605367847852,-79.9092948353051"
Rail Trail at Stroud,43.2535916384655,-79.9166152756283,5,6,"43.2535916384655,-79.9166152756283"
Main at Columbia College,43.2585671813327,-79.90785866975784,8,3,"43.2585671813327,-79.90785866975784"
King Street Dundas,43.26595632543361,-79.95375394821166,2,0,"43.26595632543361,-79.95375394821166"
Park at Robinson,43.2515957745917,-79.8749090863127,3,7,"43.2515957745917,-79.8749090863127"
Main at Dalewood,43.25802547698811,-79.91383865476678,6,4,"43.25802547698811,-79.91383865476678"
John at Main,43.254529435061336,-79.86718028783798,5,8,"43.254529435061336,-79.86718028783798"
Stadium,43.25161474646046,-79.83134329318999,5,27,"43.25161474646046,-79.83134329318999"
Osler at Main,43.2572539435115,-79.9342255404988,7,2,"43.2572539435115,-79.9342255404988"
Main at Whitney,43.25205234935895,-79.93979036808014,6,4,"43.25205234935895,-79.93979036808014"
Osler at Grant,43.2595496051254,-79.9426434441838,8,4,"43.2595496051254,-79.9426434441838"
270 Sherman,43.26044140942891,-79.83437284827232,0,8,"43.26044140942891,-79.83437284827232"
Sanders at Binkley,43.25875372772543,-79.92979913949966,8,0,"43.25875372772543,-79.92979913949966"
Whitney at Lower Horning,43.2518522355378,-79.9354198942367,21,0,"43.2518522355378,-79.9354198942367"
James North at Mulberry,43.26181945279216,-79.86674308776855,5,14,"43.26181945279216,-79.86674308776855"
Frid at Main,43.25940517059312,-79.89262372255325,5,5,"43.25940517059312,-79.89262372255325"
Gore Park,43.256316859398744,-79.86866354942322,2,14,"43.256316859398744,-79.86866354942322"
Stinson at West,43.2494985579078,-79.859726111821,1,10,"43.2494985579078,-79.859726111821"
King William at Victoria,43.254154362311304,-79.85582381486893,4,5,"43.254154362311304,-79.85582381486893"
Wentworth at King,43.25199038416551,-79.84910354018211,6,6,"43.25199038416551,-79.84910354018211"
Cannon at Wentworth - 96,43.2559617394464,-79.8475054418754,5,2,"43.2559617394464,-79.8475054418754"
Haymarket at Hughson,43.2523698048509,-79.86883386969566,2,10,"43.2523698048509,-79.86883386969566"
Bay at Macaulay,43.272362258983364,-79.86627101898192,5,5,"43.272362258983364,-79.86627101898192"
Rifle Range at Rail Trail,43.2554850097816,-79.9298771288198,12,4,"43.2554850097816,-79.9298771288198"
Hill Street Park,43.25672417073905,-79.88822355870525,4,6,"43.25672417073905,-79.88822355870525"
Seedworks,43.25911119199103,-79.86361294984816,1,6,"43.25911119199103,-79.86361294984816"
Gage Park,43.24344818701565,-79.83040988445282,6,17,"43.24344818701565,-79.83040988445282"
Delaware at Myrtle,43.2480454302898,-79.8495236914621,12,1,"43.2480454302898,-79.8495236914621"
Maplewood at Springer,43.245150946389735,-79.83708053827286,9,4,"43.245150946389735,-79.83708053827286"
Cannon at Birch (Powell Park),43.25504613306136,-79.84128892421722,10,1,"43.25504613306136,-79.84128892421722"
Cannon at Sherman,43.2533992835566,-79.8374917817979,1,7,"43.2533992835566,-79.8374917817979"
York at Macnab,43.25901059433612,-79.86919194459914,12,0,"43.25901059433612,-79.86919194459914"
McMaster Stadium,43.26462232214244,-79.91868138313293,0,12,"43.26462232214244,-79.91868138313293"
Barton and Belview - ERI05,43.252910500996364,-79.82217215001583,1,6,"43.252910500996364,-79.82217215001583"
Barton at Ottawa - ERI06,43.25147804372769,-79.81602117419243,2,5,"43.25147804372769,-79.81602117419243"
King at Mary,43.25519606248058,-79.86437804996967,2,5,"43.25519606248058,-79.86437804996967"
Cumberland at Blake ,43.24333095563425,-79.84050840139389,2,4,"43.24333095563425,-79.84050840139389"
Main at Eastbourne,43.24814116192469,-79.84201848506926,4,8,"43.24814116192469,-79.84201848506926"
Stinson at Blythe,43.2480282225403,-79.8550984051804,8,3,"43.2480282225403,-79.8550984051804"
Wentworth Stairs,43.24487936776345,-79.85186353325844,4,10,"43.24487936776345,-79.85186353325844"
Ferguson at King William,43.2551792486624,-79.8614431097373,7,3,"43.2551792486624,-79.8614431097373"
Ferguson at Cannon,43.2587508364231,-79.8598228455297,3,7,"43.2587508364231,-79.8598228455297"
Victoria at Barton,43.26124519046125,-79.853318631649,10,0,"43.26124519046125,-79.853318631649"
Mars at Wentworth - ERI01,43.26534015820083,-79.84364993870258,1,8,"43.26534015820083,-79.84364993870258"
Sherman at Barton - ERI02,43.25632467316046,-79.83628392219543,2,7,"43.25632467316046,-79.83628392219543"
Barton at Lottridge - ERI03,43.2552894386678,-79.83144521713257,2,5,"43.2552894386678,-79.83144521713257"
Corktown Park,43.2492552510953,-79.8641461491451,5,7,"43.2492552510953,-79.8641461491451"
Hunter at Ferguson,43.251798383773966,-79.86318781971931,6,2,"43.251798383773966,-79.86318781971931"
Athletic Centre Bike Racks,43.26471509784132,-79.91574570536613,0,19,"43.26471509784132,-79.91574570536613"
Main and Wellington,43.25281814686537,-79.86008584499359,0,6,"43.25281814686537,-79.86008584499359"
McMaster Student Centre,43.26274333966465,-79.91714715957642,0,30,"43.26274333966465,-79.91714715957642"
George Street,43.25851444036409,-79.87894982099533,2,5,"43.25851444036409,-79.87894982099533"
Hughson at Picton,43.2701169222876,-79.861626657542,2,10,"43.2701169222876,-79.861626657542"
Discovery Drive,43.27606684636728,-79.86029773950577,3,22,"43.27606684636728,-79.86029773950577"
Ainslie at Emerson,43.2495181157076,-79.9234422627427,18,0,"43.2495181157076,-79.9234422627427"
Catharine at Forest,43.2496648107707,-79.8677950761702,5,7,"43.2496648107707,-79.8677950761702"
Main at Macnab,43.25586951986928,-79.87145036458969,3,9,"43.25586951986928,-79.87145036458969"
Eastwood Arena,43.271621271914,-79.856711442486,3,10,"43.271621271914,-79.856711442486"
Hunter at Park,43.2543192007999,-79.8733946157064,1,9,"43.2543192007999,-79.8733946157064"
Aberdeen at Studholme,43.2526283084979,-79.899692892407,13,0,"43.2526283084979,-79.899692892407"
Ferguson at Barton,43.262056982995,-79.8582423171631,1,7,"43.262056982995,-79.8582423171631"
Ferrie at Ferguson,43.266617945064255,-79.85489845275879,3,4,"43.266617945064255,-79.85489845275879"
Belview at Cannon - ERI12,43.248928499066146,-79.82342541217804,4,5,"43.248928499066146,-79.82342541217804"
Tisdale at Main,43.25191559879094,-79.85307991504669,8,2,"43.25191559879094,-79.85307991504669"
Maple at Rothsay - ERI08,43.24216273334376,-79.8250025510788,2,7,"43.24216273334376,-79.8250025510788"
Queen at George,43.25812181171754,-79.8793575167656,1,5,"43.25812181171754,-79.8793575167656"
Augusta at John,43.251632328780424,-79.86898005008698,4,6,"43.251632328780424,-79.86898005008698"
Ottawa at Dunsmure - ERI07,43.2444465978823,-79.81923043727875,6,3,"43.2444465978823,-79.81923043727875"
Cootes at York and King,43.26558132306987,-79.94965553283691,3,12,"43.26558132306987,-79.94965553283691"
James at Vine,43.25971184443275,-79.86767515540123,3,8,"43.25971184443275,-79.86767515540123"
Charlton at Locke,43.25332704523968,-79.886634349823,8,5,"43.25332704523968,-79.886634349823"
Locke at Herkimer,43.252499716928924,-79.88658607006073,3,2,"43.252499716928924,-79.88658607006073"
King William at Hughson,43.2569048421661,-79.86643463373184,4,1,"43.2569048421661,-79.86643463373184"
Barton at Wentworth,43.25893246012055,-79.8449581861496,1,9,"43.25893246012055,-79.8449581861496"
Charlton at Queen,43.25200741706332,-79.88158643245697,10,0,"43.25200741706332,-79.88158643245697"
Duke at James,43.25163037518954,-79.87135380506516,1,3,"43.25163037518954,-79.87135380506516"
Beasley Park,43.25891916811838,-79.86106485128403,4,6,"43.25891916811838,-79.86106485128403"
John near King,43.25652795268133,-79.86623145639896,3,4,"43.25652795268133,-79.86623145639896"
Locke at Hunter,43.256556155396176,-79.88510146737099,4,6,"43.256556155396176,-79.88510146737099"
King at Barnesdale,43.25124627968789,-79.83547054231167,3,6,"43.25124627968789,-79.83547054231167"
King at Sherman,43.2513467527978,-79.83823858201504,3,4,"43.2513467527978,-79.83823858201504"
King at Sanford,43.251884127702,-79.84635829925537,2,7,"43.251884127702,-79.84635829925537"
Bay at York,43.25906138152248,-79.87338691949844,4,19,"43.25906138152248,-79.87338691949844"
Jackson Square,43.25693469264953,-79.86957684159279,2,8,"43.25693469264953,-79.86957684159279"
Cannon at Steven,43.25646071175471,-79.84998129308224,2,8,"43.25646071175471,-79.84998129308224"
Pier 4,43.27260051521549,-79.86689731478691,6,23,"43.27260051521549,-79.86689731478691"
Ferguson at King,43.25400491861888,-79.86223563551903,3,7,"43.25400491861888,-79.86223563551903"
Durand Park,43.24978615747242,-79.87574994564056,5,10,"43.24978615747242,-79.87574994564056"
Cannon at East,43.25729552525069,-79.85334813594818,5,4,"43.25729552525069,-79.85334813594818"
Strachan at Mary,43.265938747249415,-79.86042380332947,3,5,"43.265938747249415,-79.86042380332947"
West Harbour GO Station,43.26624929442286,-79.86611008644103,5,7,"43.26624929442286,-79.86611008644103"
James at Guise,43.27365898786445,-79.86182928085327,1,8,"43.27365898786445,-79.86182928085327"
RBG Rock Garden,43.289479198281,-79.89169299602507,0,14,"43.289479198281,-79.89169299602507"
Pier 8,43.27528883070137,-79.85690742731094,3,12,"43.27528883070137,-79.85690742731094"
Westinghouse at Barton - ERI13,43.25831920066756,-79.84240606427193,1,12,"43.25831920066756,-79.84240606427193"
James at Colbourne,43.2637774120007,-79.8660421593136,2,12,"43.2637774120007,-79.8660421593136"
Main at Longwood,43.25960441109783,-79.90210264921188,4,5,"43.25960441109783,-79.90210264921188"
Van Wagner's Beach,43.26000777328068,-79.7663875669241,4,8,"43.26000777328068,-79.7663875669241"
King William at James,43.25763541749527,-79.86848652362822,4,2,"43.25763541749527,-79.86848652362822"
Westdale Aviary,43.26486897083389,-79.90748047828674,9,0,"43.26486897083389,-79.90748047828674"
Hunter GO Centre,43.253329975544275,-79.86953258514404,4,11,"43.253329975544275,-79.86953258514404"
Westdale Village,43.26201477888108,-79.90508794784544,12,6,"43.26201477888108,-79.90508794784544"
